word,answer,cosine_similarity
vlieg,bij,0.575
vlieg,scheren,0.561
vlieg,bloem,0.554
misschien,twijfelen,0.642
misschien,denken,0.784
misschien,goed,0.575
scherp,spuiten,0.546
scherp,verbranden,0.549
scherp,heet,0.66
zuur,vies,0.623
zuur,eten,0.545
zuur,smerig,0.587
jagen,boksen,0.54
jagen,ontploffen,0.544
jagen,spanning,0.557
springen,piano,0.516
springen,scannen,0.519
springen,gitaar,0.47
glimlach,giechelen,0.781
glimlach,catcallen,
glimlach,begroeten,0.617
sneeuw,omweer,0.69
sneeuw,regen,0.727
sneeuw,winter,0.802
berg,leeglopen,0.477
berg,zuchten,0.531
berg,ontladen,0.516
blazen,blazen,1.0
vechten,boksen,0.773
vechten,vechten,1.0
geven,nadenken,0.616
geven,weten,0.679
geven,begrijpen,0.685
grommen,tijger,0.569
grommen,leeuw,0.554
grommen,grommen,1.0
lopen,wandelen,0.875
lopen,tikken,0.628
fluisteren,fluisteren,1.0
rijk,geld,0.585
leeg,honger,0.587
hond,hond,1.0
hoorn,geluid,0.737
geur,ruiken,0.933
oud,bejaarde,0.799
kruipen,baby,0.523
drinken,drinken,1.0
water,water,1.0
knippen,knippen,1.0
comfortabel,moe,0.584
bitter,zuur,0.791
kat,kat,1.0
klein,krimpen,0.64
sterk,sterk,1.0
blazen,blazen,1.0
slaan,highfive,
weten,idee,0.646
gek,gek,1.0
olifant,olifant,1.0
boos,juichen,0.58
zwaar,wanhoop,0.537
regen,douchen,0.685
zoet,eten,0.646
vallen,vallen,1.0
lachen,lachen,1.0
fluisteren,fluisteren,1.0
auto,autorijden,0.913
koken,koken,1.0
koud,koud,1.0
bliksem,bliksem,1.0
piepen,praten,0.648
bijten,bijten,1.0
likken,likken,1.0
kotsen,overgeven,0.887
lopen,lopen,1.0
haasten,blazen,0.542
dansen,zingen,0.688
snel,wind,0.544
ziek,hoesten,0.661
slang,slang,1.0
zuur,hijgen,0.526
onweer,ontploffing,0.62
ademen,hijgen,0.797
verbranden,fluiten,0.53
snijden,hakken,0.791
bloem,lekker,0.585
walgen,vies,0.677
vrouw,nieuwsgierig,0.528
heet,zwaar,0.646
niet,teleurstelling,0.529
zout,leuk,0.511
huilen,huilen,1.0
horen,begrijpen,0.723
fiets,rijden,0.791
fiets,fiets,1.0
klok,klok,1.0
ei,ballon,0.578
ei,uil,0.617
ei,koekoeksklok,0.617
goed,genieten,0.599
goed,tevreden,0.658
goed,lekker,0.787
blij,giechelen,0.624
blij,verrassing,0.642
blij,trots,0.711
man,motor,0.585
man,boos,0.558
man,man,1.0
verdrietig,huilen,0.695
verdrietig,sniffen,
verdrietig,verdrietig,1.0
rennen,rennen,1.0
gooien,gooien,1.0
eend,eend,1.0
sneeuw,zee,0.546
sneeuw,blazen,0.541
sneeuw,regen,0.727
groot,oneens,0.511
groot,goed,0.632
groot,twijfelen,0.525
vogel,vogel,1.0
zoemen,bij,0.582
zoemen,mug,0.609
zoemen,wesp,0.604
vuur,stikken,0.583
vuur,regen,0.572
vuur,vallen,0.554
hoog,huilen,0.511
hoog,onbegrip,0.52
hoog,verdriet,0.493
vangen,slaan,0.7
vangen,tillen,0.686
vangen,zweven,0.575
eten,eten,1.0
geheim,roddelen,0.606
geheim,geheim,1.0
telefoon,telefoon,1.0
scherp,snee,0.616
scherp,snijden,0.623
scherp,scherp,1.0
staart,scheet,0.544
staart,staart,1.0
vliegen,vliegen,1.0
jagen,jagen,1.0
slapen,slapen,1.0
zuigen,slurpen,0.772
zuigen,zuigen,1.0
wind,wind,1.0
glimlach,lachen,0.858
glimlach,blij,0.687
glimlach,glimlach,1.0
juichen,vieren,0.731
juichen,aanmoedigen,0.641
juichen,dansen,0.589
luidruchtig,schreeuwen,0.734
luidruchtig,roepen,0.653
luidruchtig,aanvallen,0.533
berg,klimmen,0.704
berg,bergwandeling,
berg,berg,1.0
dik,dik,1.0
vechten,vechten,1.0
geven,geven,1.0
ruiken,ruiken,1.0
staan,tevreden,0.531
staan,staan,1.0
zingen,zingen,1.0
zwaaien,zwaaien,1.0
kind,dansen,0.54
kind,baby,0.881
kind,kind,1.0
misschien,twijfelen,0.642
misschien,besluiteloos,0.532
misschien,matig,0.59
bang,schrikken,0.874
bang,terugdeinzen,0.727
bang,bang,1.0
stil,stil,1.0
kauwen,kaak,0.664
kauwen,praten,0.605
kauwen,kauwen,1.0
grommen,leeuw,0.554
grommen,tanden,0.538
grommen,vampier,0.493
zwemmen,zwemmen,1.0
bal,gooien,0.656
bal,handbal,0.819
bal,bal,1.0
vliegtuig,zweven,0.716
vliegtuig,zweefvliegtuig,0.919
vliegtuig,vliegen,0.872
ik,hoofd,0.532
ik,persoonlijkheid,0.578
ik,ikzelf,0.923
dood,dood,1.0
ver,kijken,0.584
ver,ver weg,
vis,vis,1.0
vlieg,sprenkelen,0.576
vlieg,zweven,0.738
vlieg,vogeltje,0.633
langzaam,traag,0.948
springen,dansen,0.633
springen,springen,1.0
knippen,schaar,0.772
comfortabel,knuffel,0.609
ik,ik,1.0
dood,dood,1.0
snel,rennen,0.688
misschien,twijfelen,0.642
eten,eten,1.0
lachen,lachen,1.0
zwemmen,zwemmen,1.0
koken,roeren,0.66
bloem,groeien,0.585
hond,blaffen,0.771
ver,wijzen,0.579
scherp,verbranden,0.549
vliegen,vliegen,1.0
rennen,rennen,1.0
ruiken,ruiken,1.0
fluisteren,fluisteren,1.0
auto,motor,0.874
rijk,geld,0.585
kat,kat,1.0
goed,uil,0.508
zwaar,paard,0.528
langzaam,wind,0.53
blazen,zucht,0.579
huilen,huilen,1.0
water,vliegtuig,0.569
haasten,hijgen,0.582
leeg,twijfelen,0.534
kind,huilen,0.557
berg,piano,0.512
klein,,0.529
piepen,alarm,0.668
sterk,leeuw,0.576
ademen,buiten adem,
lopen,blazen,0.575
olifant,olifant,1.0
snijden,snijden,1.0
vogel,vogel,1.0
koud,koud,1.0
heet,warm,0.856
man,groot,0.542
slang,slang,1.0
bijten,boterham,0.623
vallen,pijn,0.518
gek,raar,0.832
dansen,dansen,1.0
bliksem,onweer,0.846
niet,nee,0.873
horen,luisteren,0.813
likken,likken,1.0
slapen,slapen,1.0
gooien,gooien,1.0
wind,wind,1.0
geheim,fluisteren,0.645
geheim,geheim,1.0
eend,libelle,0.592
eend,eend,1.0
bitter,vies,0.708
bitter,proeven,0.568
ei,walnoot,0.595
ei,specht,0.535
ei,gevogelte,0.74
vis,vis,1.0
dik,groot,0.749
dik,dik,1.0
onweer,vuurwerk,0.616
onweer,onweer,1.0
kauwen,lekker,0.612
kauwen,kauwen,1.0
geven,betalen,0.696
geven,pasje,0.563
geven,geven,1.0
bal,gooien,0.656
bal,bal,1.0
klok,klok,1.0
boos,boos,1.0
hoog,klimmen,0.665
hoog,omhoog,0.712
hoog,boven,0.753
bang,koud,0.6
bang,bang,1.0
zoet,lekker,0.807
zoet,smakelijk,0.791
zoet,smaak,0.676
staart,draaien,0.584
staart,kwispelen,0.68
staart,wapperen,0.61
verbranden,aansteken,0.806
verbranden,vuur,0.8
verbranden,rook,0.704
staan,plassen,0.592
staan,nu,0.653
staan,staan,1.0
sneeuw,wind,0.6
sneeuw,wandelen,0.546
sneeuw,,
fiets,fiets,1.0
vrouw,wandelen,0.545
vrouw,schoonmake,0.505
vrouw,dansen,0.531
geur,ruiken,0.933
geur,verkouden,0.525
geur,blij,0.497
zuur,lekker,0.609
zuur,bang,0.56
zuur,vies,0.623
drinken,drinken,1.0
slaan,slaan,1.0
jagen,schieten,0.735
jagen,vuurwerk,0.546
jagen,ontploffen,0.544
weten,begrijpen,0.866
weten,leren,0.736
weten,vinden,0.828
glimlach,gibberen,0.507
glimlach,twijfelen,0.573
glimlach,onzeker,0.536
zingen,zingen,1.0
walgen,vies,0.677
walgen,goor,0.664
walgen,stinken,0.699
hoorn,vrachtwagen,0.556
hoorn,motor,0.586
hoorn,trombone,0.76
oud,ziek,0.568
oud,verbaast,0.494
oud,wakker worden,
ziek,ziek,1.0
kruipen,baby,0.523
kruipen,brabbelen,0.571
kruipen,kindje,0.485
vechten,vechten,1.0
kotsen,overgeven,0.887
kotsen,braken,0.979
kotsen,misselijk,0.809
zwaaien,hallo,0.526
zwaaien,zwaaien,1.0
telefoon,bellen,0.836
telefoon,telefoon,1.0
groot,hoog,0.724
groot,groot,1.0
zoemen,mug,0.609
zoemen,zoemen,1.0
vuur,mes,0.542
vuur,lucifer,0.655
vuur,aansteker,0.617
regen,regen,1.0
verdrietig,huilen,0.695
verdrietig,tranen,0.802
verdrietig,verdrietig,1.0
springen,springen,1.0
zuigen,zuigen,1.0
vliegtuig,vliege,0.872
vliegtuig,vliegtuig,1.0
juichen,juichen,1.0
vlieg,bij,0.575
vlieg,vlieg,1.0
blij,blij,1.0
luidruchtig,drummen,0.56
luidruchtig,druk,0.746
luidruchtig,kalmeren,0.589
zout,kruiden,0.729
zout,zout,1.0
stil,stil,1.0
vangen,vangen,1.0
grommen,grommen,1.0
comfortabel,genieten,0.676
olifant,vliegen,0.49
groot,spook,0.524
vogel,bos,0.572
stil,stilte,0.896
langzaam,mediteren,0.556
vallen,vallen,1.0
slaan,pistool,0.523
staan,schieten,0.602
dansen,zingen,0.688
snijden,snijden,1.0
walgen,vies,0.677
vuur,rijden,0.516
heet,wind,0.598
bliksem,stampen,0.52
eten,eten,1.0
ruiken,stilte,0.524
gooien,onweer,0.525
rijk,rijk,1.0
auto,rijden,0.742
boos,boos,1.0
ei,ei,1.0
niet,straffen,0.521
ademen,moe,0.569
lachen,lachen,1.0
likken,likken,1.0
fluisteren,fluisteren,1.0
haasten,rennen,0.678
bloem,vuurwerk,0.59
zoemen,insect,0.566
koud,koud,1.0
goed,goed,1.0
slang,slang,1.0
grommen,boos,0.653
horen,luisteren,0.813
rennen,sprinten,0.9
knippen,knippen,1.0
gek,clown,0.712
ik,ik,1.0
ver,zoeken,0.582
blij,blij,1.0
oud,oud,1.0
zuur,vies,0.623
blazen,blazen,1.0
kruipen,kruipen,1.0
koken,koken,1.0
leeg,zoeken,0.563
hoorn,megafoon,0.736
geur,ruiken,0.933
klein,peuter,0.711
onweer,schuilen,0.568
jagen,oorlog,0.583
springen,springen,1.0
kotsen,overgeven,0.887
telefoon,ringtoon,
telefoon,telefoon,1.0
zwaaien,wind,0.598
zwaaien,spugen,0.552
zwaaien,springen,0.677
bitter,koud,0.704
bitter,vies,0.708
bitter,vuil,0.59
snel,zwaaien,0.548
snel,gooien,0.543
snel,springen,0.621
misschien,blij,0.565
misschien,denken,0.784
misschien,genieten,0.526
zout,vies,0.586
zout,koud,0.61
zout,storm,0.518
zoet,blij,0.638
zoet,baby,0.586
zoet,voeden,0.556
drinken,drinken,1.0
lopen,hard,0.541
lopen,eten,0.57
lopen,pittig,0.525
fiets,muziek,0.526
fiets,melodie,0.502
fiets,bel,0.529
juichen,juichen,1.0
luidruchtig,langzaam,0.583
luidruchtig,neuriën,0.621
luidruchtig,hoog,0.602
man,eten,0.553
man,brommen,0.521
man,boos,0.558
verdrietig,huilen,0.695
verdrietig,verdrietig,1.0
scherp,pijn,0.594
scherp,verwonding,0.538
scherp,bezeren,0.556
sterk,boos,0.614
sterk,brood,0.489
sterk,hond,0.527
bijten,hond,0.621
bijten,bal,0.533
bijten,brommen,0.59
zuigen,slurpen,0.772
zuigen,zuigen,1.0
bal,bal,1.0
glimlach,blij,0.687
glimlach,vrolijk,0.706
glimlach,gelukkig,0.641
kat,hond,0.896
kat,kat,1.0
dood,dood,1.0
hond,hond,1.0
ziek,ziek,1.0
vangen,vangen,1.0
huilen,verdrietig,0.695
huilen,huilen,1.0
weten,denken,0.816
weten,onthouden,0.752
weten,nadenken,0.713
zingen,zingen,1.0
vliegtuig,vliegen,0.872
vliegtuig,zweven,0.716
vliegtuig,vliegtuig,1.0
vis,vis,1.0
zwaar,dik,0.797
zwaar,zwaar,1.0
berg,heuvel,0.854
berg,berg,1.0
piepen,kinderen,0.568
piepen,kip,0.565
piepen,kakelen,0.86
verbranden,verbranden,1.0
slapen,slapen,1.0
water,water,1.0
sneeuw,waterval,0.614
sneeuw,regen,0.727
sneeuw,sneeuw,1.0
geheim,stil,0.633
geheim,geheim,1.0
bang,bang,1.0
staart,muts,0.642
staart,dragen,0.508
staart,helm,0.559
dik,dik,1.0
kauwen,eten,0.748
kauwen,smakken,0.65
kauwen,kauwen,1.0
vechten,vechten,1.0
vliegen,vliegen,1.0
geven,geven,1.0
klok,klok,1.0
eend,eend,1.0
kind,moedergans,
kind,kind,1.0
vrouw,irritant,0.519
vrouw,meisje,0.807
vrouw,vrouw,1.0
vlieg,vliegtuig,0.784
vlieg,vlieg,1.0
hoog,hoog,1.0
regen,regen,1.0
zwemmen,zwemmen,1.0
wind,raken,0.516
wind,föhnen,
wind,wind,1.0
snijden,zagen,0.642
rijk,uitgeven,0.542
kind,troosten,0.565
vlieg,vliegen,0.942
bliksem,vallen,0.537
klein,hurken,0.552
zuur,afkeer,0.62
jagen,schieten,0.735
ruiken,ruiken,1.0
comfortabel,nadenken,0.516
olifant,olifant,1.0
walgen,vies,0.677
hond,hond,1.0
bang,schrikken,0.874
bijten,bijten,1.0
springen,springen,1.0
staan,wachten,0.693
kotsen,overgeven,0.887
haasten,rennen,0.678
auto,rijden,0.742
hoorn,leger,0.548
verdrietig,huilen,0.695
scherp,slijpen,0.673
onweer,schieten,0.55
vliegen,wind,0.628
slapen,slapen,1.0
lopen,wachten,0.598
leeg,wind,0.539
koken,muis,0.514
vogel,vogel,1.0
dood,vies,0.534
snel,pijl,0.594
vis,vis,1.0
slang,slang,1.0
piepen,remmen,0.573
likken,opzuigen,0.761
bloem,roken,0.535
knippen,knippen,1.0
ver,zoeken,0.582
vrouw,flirten,0.532
stil,stil,1.0
blazen,blazen,1.0
kauwen,eten,0.748
vallen,vallen,1.0
weten,denken,0.816
gek,gek,1.0
dansen,dansen,1.0
goed,goed,1.0
zoet,lekker,0.807
kruipen,graven,0.667
grommen,klauwen,0.628
slaan,slaan,1.0
lachen,lachen,1.0
zuigen,zuigen,1.0
bal,basketballen,0.799
bal,rugby,0.75
bal,sporten,0.696
fiets,fietsen,0.975
fiets,fiets,1.0
ei,kip,0.77
ei,boerderij,0.56
ei,ei,1.0
zwaar,tillen,0.562
zwaar,uitgeput,0.591
zwaar,zwaar,1.0
hoog,hoog,1.0
man,sterk,0.535
man,stoer,0.532
man,man,1.0
langzaam,langzaam,1.0
drinken,drinken,1.0
wind,vlieger,0.642
wind,wind,1.0
eend,eend,1.0
klok,tandwiel,0.596
klok,klok,1.0
blij,goed,0.697
blij,lach,0.684
blij,blij,1.0
oud,oud,1.0
ziek,griep,0.684
ziek,ziek,1.0
verbranden,kastje,0.481
verbranden,heet,0.706
verbranden,pijn,0.559
vangen,vangen,1.0
zwemmen,zwemmen,1.0
fluisteren,fluisteren,1.0
sneeuw,sneeuw,1.0
zwaaien,begroeten,0.622
zwaaien,zwaaien,1.0
boos,boos,1.0
groot,groot,1.0
kat,kat,1.0
berg,berg,1.0
sterk,sterk,1.0
eten,eten,1.0
horen,horen,1.0
vliegtuig,vliegen,0.872
vliegtuig,vliegtuig,1.0
telefoon,bellen,0.836
telefoon,telefoon,1.0
bitter,vies,0.708
bitter,zuur,0.791
bitter,vies eten,
koud,koud,1.0
geur,bloem,0.607
geur,ruiken,0.933
geur,parfum,0.961
regen,regen,1.0
staart,staart,1.0
rennen,rennen,1.0
water,drinken,0.692
water,schenken,0.588
water,drank,0.688
geheim,fluisteren,0.645
geheim,stilte,0.705
geheim,stil,0.633
juichen,winnen,0.608
juichen,juichen,1.0
heet,blazen,0.577
heet,moe,0.573
heet,afkeer,0.563
niet,nee,0.873
niet,stoppen,0.617
niet,stop,0.618
zout,zagen,0.499
zout,eten,0.58
zout,spugen,0.584
dik,overgeven,0.496
dik,springen,0.496
dik,wachten,0.493
huilen,huilen,1.0
vechten,vechten,1.0
gooien,snel,0.543
gooien,vliegtuig,0.501
gooien,vliegen,0.591
glimlach,piep,0.563
glimlach,denken,0.539
glimlach,weten,0.542
zingen,zinge,1.0
ik,idee,0.616
ik,vinden,0.653
ik,praten,0.563
zoemen,bij,0.582
zoemen,zoemen,1.0
vuur,kraken,0.491
vuur,malen,0.563
vuur,kruiden,0.533
luidruchtig,gejuich,0.652
luidruchtig,schreeuwen,0.734
luidruchtig,joelen,0.72
misschien,mening,0.579
misschien,nadenken,0.712
misschien,overwegen,0.666
ademen,hijgen,0.797
ademen,ademen,1.0
geven,denken,0.648
geven,snappen,0.683
geven,instemmen,0.704
auto,autorijden,0.913
haasten,stress,0.583
bitter,vies,0.708
hond,hond,1.0
sterk,sterk,1.0
zoet,lekker,0.807
onweer,vuurwerk,0.616
slaan,boksen,0.646
kotsen,overgeven,0.887
knippen,knippen,1.0
rijk,geld,0.585
ei,ei,1.0
heet,heet,1.0
bang,verbaasd,0.687
blazen,blazen,1.0
springen,achtbaan,0.613
ruiken,ruiken,1.0
fluisteren,stilte,0.719
snijden,knippen,0.872
gek,schreeuwen,0.577
niet,lekker,0.567
klein,schattig,0.686
verbranden,wind,0.555
grommen,grommen,1.0
horen,luisteren,0.813
zwemmen,wind,0.524
lopen,stappen,0.829
leeg,stilte,0.618
bloem,zoemen,0.515
vogel,vogel,1.0
goed,luisteren,0.56
kauwen,smakken,0.65
vliegen,wind,0.628
geven,twijfel,0.545
weten,begrijpen,0.866
staan,schrik,0.514
dansen,dansen,1.0
comfortabel,warm,0.677
man,man,1.0
zout,flauw,0.544
slang,slang,1.0
dik,dik,1.0
bijten,bijten,1.0
slapen,slapen,1.0
wind,wind,1.0
koken,koken,1.0
olifant,olifant,1.0
ik,jijzelf,0.789
vuur,open haard,
zwaar,bewegen,0.542
drinken,drinken,1.0
vechten,boksen,0.773
likken,ijsje,0.589
zuigen,rietje,0.592
zingen,zingen,1.0
telefoon,telefoon,1.0
groot,lang,0.709
groot,groot,1.0
koud,koud,1.0
luidruchtig,zacht,0.663
luidruchtig,luid,0.889
luidruchtig,hard,0.767
misschien,twijfelen,0.642
misschien,misschien,1.0
kruipen,kruipen,1.0
jagen,soldaat,0.537
jagen,speurhond,0.655
jagen,overwinning,0.578
lachen,lachen,1.0
fiets,fietsen,0.975
fiets,bellen,0.518
fiets,trappen,0.58
juichen,juichen,1.0
vlieg,bij,0.575
vlieg,mug,0.742
vlieg,vliegen,0.942
verdrietig,huilen,0.695
verdrietig,verdriet,0.805
stil,stilte,0.896
stil,stil,1.0
staart,staart,1.0
ademen,ademen,1.0
huilen,verdriet,0.657
huilen,huilen,1.0
gooien,gooien,1.0
bal,stuiteren,0.693
bal,basketballen,0.799
bal,vangen,0.575
geheim,fluisteren,0.645
geheim,verbaast,0.569
geheim,afkeuren,0.492
kat,kat,1.0
blij,vrolijk,0.882
blij,neuriën,0.551
blij,blij,1.0
hoorn,trompet,0.83
hoorn,orkest,0.671
hoorn,instrument,0.683
ziek,ziek,1.0
eten,lekker,0.697
eten,eten,1.0
vallen,bom,0.585
vallen,vallen,1.0
rennen,hardlopen,0.962
rennen,rennen,1.0
eend,eend,1.0
glimlach,neuriën,0.602
glimlach,lachen,0.858
glimlach,lachen,0.858
zoemen,zoemen,1.0
dood,tikken,0.542
dood,uitglijden,0.51
dood,achtbaan,0.523
bliksem,schieten,0.62
bliksem,blazen,0.611
bliksem,wind,0.659
berg,verbaast,0.501
berg,rennen,0.584
berg,vallen,0.547
geur,knikken,0.483
geur,goedkeuren,0.501
geur,luisteren,0.522
oud,spanning,0.475
oud,angst,0.51
zuur,pijn,0.605
zuur,moeilijk,0.619
zuur,lastig,0.619
vliegtuig,vliegen,0.872
vliegtuig,vliegtuig,1.0
sneeuw,winter,0.802
sneeuw,sneeuw,1.0
walgen,vies,0.677
walgen,overgeven,0.676
walgen,angst,0.674
snel,haast,0.781
snel,snel,1.0
vrouw,vrouw,1.0
hoog,hoog,1.0
scherp,snijden,0.623
scherp,zagen,0.576
scherp,scherp,1.0
langzaam,langzaam,1.0
water,kraan,0.708
water,water,1.0
zwaaien,zwaaien,1.0
klok,klok,1.0
boos,boos,1.0
kind,baby,0.881
kind,peuter,0.916
kind,kind,1.0
ver,ver weg,
vis,slang,0.606
vis,kronkelen,0.517
vis,zee,0.749
regen,regen,1.0
piepen,kip,0.565
piepen,kuikelen,
piepen,kwaken,0.672
vangen,vangen,1.0
bloem,kaars,0.603
comfortabel,wakker,0.577
groot,verrast,0.543
vlieg,wind,0.61
verdrietig,huilen,0.695
zout,zout,1.0
rennen,joggen,0.764
zuigen,ademen,0.711
kotsen,kotsen,1.0
snijden,zagen,0.642
leeg,vol,0.661
boos,boos,1.0
bitter,smakken,0.552
dood,vermoorden,0.754
vuur,wind,0.589
langzaam,sjokken,0.672
bijten,bijten,1.0
ademen,ademen,1.0
olifant,stilte,0.538
knippen,snipperen,0.8
zoemen,bij,0.582
koud,auto,0.497
ver,blazen,0.521
misschien,twijfelen,0.642
zoet,bevestiging,0.477
jagen,schrikken,0.59
fluisteren,fluisteren,1.0
rijk,twijfelen,0.5
auto,motor,0.874
vogel,spuiten,0.52
hond,grommen,0.582
hoorn,olifant,0.621
luidruchtig,machine,0.541
staart,spuiten,0.536
vliegen,blazen,0.582
grommen,grommen,1.0
dansen,wiggelen,0.671
haasten,haast,0.773
ik,ik,1.0
vrouw,pop,0.531
heet,heet,1.0
dik,openmaken,0.522
blazen,blazen,1.0
verbranden,heet,0.706
staan,hier,0.634
koken,zagen,0.54
gek,ontwijken,0.487
snel,haasten,0.794
oud,treuzelen,0.482
stil,stil,1.0
slang,zwemmen,0.585
zuur,zuur,1.0
ruiken,neus,0.666
zwemmen,zwemmen,1.0
zingen,zingen,1.0
telefoon,appen,0.632
telefoon,communiceren,0.65
telefoon,bellen,0.836
ziek,ziek,1.0
kruipen,kruipen,1.0
springen,springen,1.0
weten,weten,1.0
gooien,slaan,0.732
gooien,highfive,
gooien,dunken,0.639
water,zuipen,0.664
water,drinken,0.692
water,slokken,0.59
wind,wind,1.0
eend,eend,1.0
geheim,fluisteren,0.645
geheim,zwijgen,0.709
geheim,stoppen,0.518
kat,kat,1.0
bliksem,raket,0.626
bliksem,tuinslang,0.541
bliksem,tuinieren,0.465
regen,vangen,0.506
regen,regen,1.0
klein,bukken,0.553
klein,kort,0.681
klein,klein,1.0
piepen,stotteren,0.625
piepen,achteruit,0.519
piepen,vrachtwagen,0.486
drinken,drinken,1.0
lopen,lopen,1.0
klok,tijd,0.666
klok,klok,1.0
bal,gooien,0.656
bal,werpen,0.669
bal,cirkel,0.594
walgen,staan,0.549
walgen,stinken,0.699
walgen,vies,0.677
blij,blij,1.0
niet,nee,0.873
niet,verbieden,0.63
niet,kiezen,0.538
geur,ruiken,0.933
geur,geur,1.0
scherp,snee,0.616
scherp,hand,0.528
scherp,vingertop,0.565
kauwen,smakken,0.65
kauwen,kauwen,1.0
vallen,vallen,1.0
vliegtuig,vliegen,0.872
vliegtuig,vliegtuig,1.0
zwaaien,zwaaien,1.0
kind,laag,0.534
kind,jong,0.825
kind,tiener,0.741
vis,kip,0.643
vis,figuur,0.519
vis,bewegen,0.514
hoog,klimmen,0.665
hoog,hoog,1.0
berg,berg,1.0
bang,schrikken,0.874
bang,wow,0.62
eten,eten,1.0
likken,likken,1.0
fiets,verward,0.496
fiets,twijfel,0.488
fiets,kiezen,0.507
sneeuw,zingen,0.524
sneeuw,neuriën,0.531
sneeuw,vrolijk,0.573
ei,kip,0.77
ei,haan,0.688
ei,kukelen,
zwaar,zuchten,0.602
zwaar,moe,0.658
zwaar,zuchten,0.602
man,grommen,0.519
man,beer,0.559
man,praten,0.526
vechten,vechten,1.0
geven,bevestigen,0.703
geven,accepteren,0.771
lachen,blij,0.673
lachen,grappig,0.774
lachen,vrolijk,0.717
slapen,slapen,1.0
glimlach,zucht,0.619
glimlach,stem,0.561
glimlach,lachen,0.858
juichen,achtbaan,0.544
juichen,juichen,1.0
goed,twijfelen,0.546
goed,bevestigen,0.547
goed,eens,0.633
sterk,grommen,0.556
sterk,boos,0.614
sterk,kwaad,0.607
onweer,brand,0.6
onweer,kortsluiting,0.549
onweer,oorlog,0.536
vangen,wapen,0.474
vangen,wind,0.522
vangen,graffiti,0.48
huilen,ruiken,0.588
huilen,huilen,1.0
horen,lekker,0.56
horen,huh,
horen,zingen,0.648
slaan,schieten,0.734
slaan,heet,0.555
slaan,blussen,0.615
gek,gek,1.0
snijden,zagen,0.642
bang,bang,1.0
slang,slang,1.0
zoet,eten,0.646
vallen,vallen,1.0
geven,uitdelen,0.797
slaan,slaan,1.0
kotsen,overgeven,0.887
dansen,dansen,1.0
olifant,olifant,1.0
ver,wijzen,0.579
zwaar,tillen,0.562
piepen,piepen,1.0
sterk,sterk,1.0
verbranden,verbranden,1.0
kauwen,kauwen,1.0
eten,eten,1.0
leeg,aarzel,0.547
bloem,verbazing,0.529
zoemen,mug,0.609
